proj	ts	deg	stage	art	seq	feat	phase	verdict	action	nrub	nfail	nblk	nadv	nesc
assistente-pessoal	2026-09-04T18:44:40Z	0	plan-review	data-export-phase-1-the-dump-and-its-guard	1	data-export	1	CHANGES_REQUESTED	rubric_fail	19	3	3	0	0
assistente-pessoal	2026-09-04T18:51:50Z	0	plan-review	data-export-phase-1-the-dump-and-its-guard	2	data-export	1	APPROVED	final_flip	18	0	0	0	0
assistente-pessoal	2026-09-04T19:46:46Z	0	plan-review	data-export-phase-2-the-calendar-file	1	data-export	2	APPROVED	final_flip	18	0	0	0	0
assistente-pessoal	2026-09-04T19:54:36Z	0	plan-review	data-export-phase-2-the-calendar-file	2	data-export	2	APPROVED	final_flip	18	0	0	0	0
assistente-pessoal	2026-09-05T10:30:39Z	0	plan-review	data-export-phase-3-the-button	1	data-export	3	APPROVED	final_flip	18	0	0	0	0
assistente-pessoal	2026-09-05T11:04:44Z	0	plan-review	data-export-phase-3-the-button	2	data-export	3	APPROVED	final_flip	19	1	0	1	0
assistente-pessoal	2026-09-07T02:06:14Z	0	plan-review	data-export-phase-4-the-unattended-copy	1	data-export	4	APPROVED	final_flip	18	0	0	0	0
assistente-pessoal	2026-09-07T19:01:38Z	0	plan-review	push-channel-proven-phase-1-push-send-spike	1	push-channel-proven	1	CHANGES_REQUESTED	rubric_fail	18	2	2	0	0
assistente-pessoal	2026-09-07T19:07:45Z	0	plan-review	push-channel-proven-phase-1-push-send-spike	2	push-channel-proven	1	CHANGES_REQUESTED	rubric_fail	18	1	1	0	0
assistente-pessoal	2026-09-07T19:16:44Z	0	plan-review	push-channel-proven-phase-1-push-send-spike	3	push-channel-proven	1	CHANGES_REQUESTED	rubric_fail	18	1	1	0	0
assistente-pessoal	2026-09-07T19:25:21Z	0	plan-review	push-channel-proven-phase-1-push-send-spike	4	push-channel-proven	1	APPROVED	final_flip	18	0	0	0	0
assistente-pessoal	2026-09-07T20:48:45Z	0	plan-review	push-channel-proven-phase-2-subscription-lifecycle	1	push-channel-proven	2	APPROVED	final_flip	18	0	0	0	0
assistente-pessoal	2026-09-07T21:48:23Z	0	plan-review	push-channel-proven-phase-3-cron-heartbeat	1	push-channel-proven	3	CHANGES_REQUESTED	rubric_fail	23	2	1	1	1
assistente-pessoal	2026-09-07T21:55:12Z	0	plan-review	push-channel-proven-phase-3-cron-heartbeat	2	push-channel-proven	3	APPROVED	final_flip	22	1	0	1	0
assistente-pessoal	2026-09-07T23:23:29Z	0	plan-review	push-channel-proven-phase-4-notifications-settings	1	push-channel-proven	4	APPROVED	final_flip	18	0	0	0	0
assistente-pessoal	2026-09-07T23:50:33Z	0	plan-review	push-channel-proven-phase-4-notifications-settings	2	push-channel-proven	4	CHANGES_REQUESTED	rubric_fail	20	2	2	0	2
assistente-pessoal	2026-09-07T23:59:55Z	0	plan-review	push-channel-proven-phase-4-notifications-settings	3	push-channel-proven	4	APPROVED	final_flip	18	0	0	0	0
assistente-pessoal	2026-09-09T22:15:32Z	0	plan-review	reminders-phase-1-reminder-api-and-the-time-contract	1	reminders	1	CHANGES_REQUESTED	rubric_fail	19	2	2	0	1
assistente-pessoal	2026-09-09T22:21:42Z	0	plan-review	reminders-phase-1-reminder-api-and-the-time-contract	2	reminders	1	APPROVED	final_flip	19	0	0	0	0
assistente-pessoal	2026-09-09T22:52:09Z	0	plan-review	reminders-phase-2-the-due-reminder-sweep	1	reminders	2	APPROVED	final_flip	18	0	0	0	0
assistente-pessoal	2026-09-09T23:22:43Z	0	plan-review	reminders-phase-3-per-task-route-and-reminder-ui	1	reminders	3	CHANGES_REQUESTED	rubric_fail	19	3	2	1	0
assistente-pessoal	2026-09-09T23:32:48Z	0	plan-review	reminders-phase-3-per-task-route-and-reminder-ui	2	reminders	3	CHANGES_REQUESTED	rubric_fail	19	1	1	0	0
assistente-pessoal	2026-09-09T23:43:14Z	0	plan-review	reminders-phase-3-per-task-route-and-reminder-ui	3	reminders	3	CHANGES_REQUESTED	rubric_fail	20	1	1	0	1
assistente-pessoal	2026-09-10T00:12:05Z	0	plan-review	reminders-phase-3-per-task-route-and-reminder-ui	4	reminders	3	CHANGES_REQUESTED	rubric_fail	22	2	1	1	0
assistente-pessoal	2026-09-10T00:18:31Z	0	plan-review	reminders-phase-3-per-task-route-and-reminder-ui	5	reminders	3	CHANGES_REQUESTED	rubric_fail	23	2	2	0	0
assistente-pessoal	2026-09-10T00:25:46Z	0	plan-review	reminders-phase-3-per-task-route-and-reminder-ui	6	reminders	3	APPROVED	final_flip	22	0	0	0	0
assistente-pessoal	2026-09-10T02:59:24Z	0	plan-review	reminders-phase-4-deadline-recomputation-and-the-device-proof	1	reminders	4	CHANGES_REQUESTED	rubric_fail	19	1	1	0	0
assistente-pessoal	2026-09-10T03:06:22Z	0	plan-review	reminders-phase-4-deadline-recomputation-and-the-device-proof	2	reminders	4	APPROVED	final_flip	18	0	0	0	0
assistente-pessoal	2026-09-04T19:02:49Z	0	test-write-review	data-export	1	-	-	APPROVED	rubric_evaluation	7	0	0	0	0
assistente-pessoal	2026-09-04T20:08:26Z	0	test-write-review	data-export-phase-2-the-calendar-file	1	data-export	2	APPROVED	rubric_evaluation	7	0	0	0	0
assistente-pessoal	2026-09-04T20:14:41Z	0	test-write-review	data-export-phase-2-the-calendar-file	2	data-export	2	APPROVED	rubric_evaluation	7	0	0	0	0
assistente-pessoal	2026-09-05T10:41:10Z	0	test-write-review	data-export-phase-3-the-button	1	data-export	3	APPROVED	rubric_evaluation	7	0	0	0	0
assistente-pessoal	2026-09-05T11:17:30Z	0	test-write-review	data-export-phase-3-the-button	2	data-export	3	APPROVED	rubric_evaluation	7	0	0	0	0
assistente-pessoal	2026-09-07T02:14:31Z	0	test-write-review	data-export-phase-4-the-unattended-copy	1	data-export	4	APPROVED	rubric_evaluation	7	0	0	0	0
assistente-pessoal	2026-09-07T19:45:05Z	0	test-write-review	push-channel-proven	1	-	-	CHANGES_REQUESTED	rubric_evaluation	7	1	1	0	0
assistente-pessoal	2026-09-08T01:13:36Z	0	test-write-review	push-channel-proven	10	-	-	CHANGES_REQUESTED	rubric_evaluation	7	1	1	0	0
assistente-pessoal	2026-09-08T01:27:44Z	0	test-write-review	push-channel-proven	11	-	-	CHANGES_REQUESTED	rubric_evaluation	7	1	1	0	0
assistente-pessoal	2026-09-08T01:37:24Z	0	test-write-review	push-channel-proven	12	-	-	APPROVED	rubric_evaluation	7	0	0	0	0
assistente-pessoal	2026-09-07T19:55:54Z	0	test-write-review	push-channel-proven	2	-	-	APPROVED	rubric_evaluation	7	0	0	0	0
assistente-pessoal	2026-09-07T21:04:05Z	0	test-write-review	push-channel-proven	3	-	-	APPROVED	rubric_evaluation	7	0	0	0	0
assistente-pessoal	2026-09-07T22:12:24Z	0	test-write-review	push-channel-proven	4	-	-	APPROVED	rubric_evaluation	7	0	0	0	0
assistente-pessoal	2026-09-07T22:48:27Z	0	test-write-review	push-channel-proven	5	-	-	APPROVED	rubric_evaluation	7	0	0	0	0
assistente-pessoal	2026-09-07T22:59:08Z	0	test-write-review	push-channel-proven	6	-	-	APPROVED	rubric_evaluation	7	0	0	0	0
assistente-pessoal	2026-09-07T23:44:40Z	0	test-write-review	push-channel-proven	7	-	-	CHANGES_REQUESTED	rubric_evaluation	7	1	1	0	0
assistente-pessoal	2026-09-07T23:53:36Z	0	test-write-review	push-channel-proven	8	-	-	APPROVED	rubric_evaluation	7	0	0	0	0
assistente-pessoal	2026-09-08T01:04:59Z	0	test-write-review	push-channel-proven	9	-	-	CHANGES_REQUESTED	rubric_evaluation	7	1	1	0	0
assistente-pessoal	2026-09-09T22:30:57Z	0	test-write-review	reminders-phase-1-reminder-api-and-the-time-contract	1	reminders	1	APPROVED	rubric_evaluation	7	0	0	0	0
assistente-pessoal	2026-09-09T23:00:10Z	0	test-write-review	reminders-phase-2-the-due-reminder-sweep	1	reminders	2	APPROVED	rubric_evaluation	7	0	0	0	0
assistente-pessoal	2026-09-10T01:50:07Z	0	test-write-review	reminders-phase-3-per-task-route-and-reminder-ui	1	reminders	3	APPROVED	rubric_evaluation	7	0	0	0	0
assistente-pessoal	2026-09-10T02:34:26Z	0	test-write-review	reminders-phase-3-per-task-route-and-reminder-ui	2	reminders	3	APPROVED	rubric_evaluation	7	0	0	0	0
assistente-pessoal	2026-09-10T03:12:36Z	0	test-write-review	reminders-phase-4-deadline-recomputation-and-the-device-proof	1	reminders	4	APPROVED	rubric_evaluation	7	0	0	0	0
