proj	ts	feat	phase	stage	outcome	halt	bud_prr	bud_min	natt	ms	suite_ms	corr_ms
assistente-pessoal	-	task-detail-and-dates	1	test_after	not_applicable	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	1	test_review	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	1	worktree	CREATED	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	2	implement	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	2	plan	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	2	row_status_flip	OK	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	2	row_status_flip	OK	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	2	tdd	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	2	test	GREEN	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	2	test_after	not_applicable	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	2	test_review	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	2	worktree	IDEMPOTENT_REUSE	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	3	implement	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	3	plan	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	3	row_status_flip	OK	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	3	row_status_flip	OK	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	3	tdd	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	3	test	GREEN	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	3	test_after	not_applicable	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	3	test_review	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	3	worktree	IDEMPOTENT_REUSE	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	4	implement	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	4	plan	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	4	row_status_flip	OK	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	4	row_status_flip	OK	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	4	tdd	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	4	test	GREEN	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	4	test_after	not_applicable	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	4	test_review	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	4	worktree	IDEMPOTENT_REUSE	-	2	240	-	-	-	-
